Title,Author,Days
Misspent Youth,Peter F. Hamilton,26
Nemesis Games,James S. A. Corey,35
Cibola Burn, James S. A. Corey,31
Gods of Risk,James S. A. Corey,2
Abbaddon's Gate,James S. A. Corey,38
Caliban's War,James S. A. Corey,44
Leviathan Wakes,James S. A. Corey,50
An Astronaut's Guide,Chris Hadfiels,32
Player One,Ernest Cline,14
Il Dio Nudo,Peter F. Hamilton,44
L'alchimista delle Stelle,Peter F. Hamilton,61
La Crisi della Realtà,Peter F. Hamilton,17
Il Risveglio di Endymion,Dan Simmons,
Endymion,Dan Simmons,
La Caduta di Hyperion,Dan Simmons,
Hyperion,Dan Simmons,
L'Evoluzione del Vuoto,Peter F. Hamilton,
Il Tempo del Vuoto,Peter F. Hamilton,
Il Sogno del Vuoto,Peter F. Hamilton,
Radio libera Albemuth,Philip K. Dick,
Ubik,Philip K. Dick,
La Trasmigrazione di Timothy Archer,Philip K. Dick,
Divina Invasione,Philip K. Dick,
Valis,Philip K. Dick,
